Nome,Totale
NIKOLAS,4
NOE',4
NUNZIATA,4
OLGA MARIA,4
PAOLA ANNA,4
PAOLO GIUSEPPE,4
PAPA,4
PAULINA,4
PIERANGELA,4
PIERO ANTONIO,4
PIETRO ANTONIO,4
PIETRO MARIA,4
POMPILIA,4
RACHID,4
RAJKUMAR,4
RAMNIWAS,4
RICCARDO MARIA,4
RITA TERESA,4
ROBERTA MARIA,4
ROCCO GIUSEPPE,4
RODICA,4
ROLAND,4
ROMILDA,4
ROSA ANTONIA,4
SALIOU,4
SAMIR,4
SANDEEP,4
SANTE,4
SEBASTIANA,4
SETTIMIO,4
SEVERINA,4
SHPRESA,4
SIMON,4
SIMONA ANNA,4
SOFIA ANNA,4
STELA,4
SYRIA,4
TERESINA,4
TIBERIO,4
TOMAS,4
TOMMASINA,4
TONY,4
TRIFONE,4
VALBONA,4
VALENTINA MARIA,4
VANNA,4
VASILICA,4
VIKTOR,4
VIOLETA,4
VITALBA,4
VITO FRANCESCO,4
VITTORIO EMANUELE,4
VLADIMIR,4
YOUNES,4
ZEMIRA,4
ZENO,4
ABDELLAH,3
ADAMA,3
ADDOLORATA MARIA,3
ADELE MARIA,3
ADIL,3
AGIM,3
AGRON,3
AHMAD,3
ALBA ROSA,3
ALBANO,3
ALBERT,3
ALBERTINA,3
ALBERTO ANTONIO,3
ALDINA,3
ALESSANDRO FRANCESCO,3
ALESSANDRO NICOLA,3
ALEXANDRINA,3
ALEXANDRO,3
ALFREDO MARIA,3
ALKETA,3
ALTIN,3
ALVIN,3
AMANDEEP,3
AMELIE,3
AMIR,3
AMNERIS,3
ANACLETO,3
ANASTASIA MARIA,3
ANDREA ALESSANDRO,3
ANDREA LUIGI,3
ANDREA MICHELE,3
ANDREAS,3
ANDREEA,3
ANDREI,3
ANGELA LUCIA,3
ANISOARA,3
ANNA ANGELA,3
ANNA CONCETTA,3
ANNA GLORIA,3
ANNA LEDA,3
ANNA MARCELLA,3
ANNA MARIA ASSUNTA,3
ANNA MONICA,3
ANNA PANTALEA,3
ANNA PIA,3
ANNA RAFFAELA,3
ANNA SARA,3
ANNABEL,3
ANNAGIULIA,3
ANNAPAOLA,3
ANNETTA,3
ANNINA,3
ANSELMO,3
ANTONIA LUCIA,3
ANTONIO ANGELO,3
ANTONIO COSIMO,3
